Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)        V(DOUT0_4)        V(DOUT0_5)        V(DOUT0_6)        V(DOUT0_7)    
24       9.78359390e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
25       9.91962736e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00    1.79999932e+00
26       1.00000000e-09    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00    1.79999924e+00
27       1.00136033e-09    4.89720457e-02    1.80000000e+00    1.80000000e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00
28       1.00272067e-09    9.79440914e-02    1.80000000e+00    1.80000000e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00
29       1.00544134e-09    1.95888183e-01    1.80000000e+00    1.80000000e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00
30       1.01088268e-09    3.91776366e-01    1.80000000e+00    1.80000000e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00
31       1.02176535e-09    7.83552731e-01    1.80000000e+00    1.80000000e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00
32       1.03264803e-09    1.17532910e+00    1.80000000e+00    1.80000000e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00
33       1.04353071e-09    1.56710546e+00    1.80000000e+00    1.80000000e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00
34       1.05000000e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999911e+00    1.79999911e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999911e+00    1.79999911e+00
35       1.05108827e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
36       1.05217654e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00
37       1.05435307e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00
38       1.05870614e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
39       1.06741228e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
40       1.07611842e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
41       1.08482457e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00    1.79999908e+00
42       1.09353071e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00
43       1.10223685e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00    1.79999905e+00
44       1.11094299e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00
45       1.12835527e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
46       1.14323891e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
47       1.15812254e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
48       1.17300617e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00    1.79999920e+00
49       1.18607885e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00    1.79999918e+00
